"Date","Price","Open","High","Low","Vol.","Change %"
"26-07-2021","211.15","214.00","215.35","210.80","47.26M","-0.59%"
"23-07-2021","212.40","207.00","213.60","206.50","44.53M","2.61%"
"22-07-2021","207.00","207.00","208.25","205.85","18.31M","0.10%"
"20-07-2021","206.80","208.20","209.30","206.40","23.66M","-0.46%"
"19-07-2021","207.75","206.80","209.50","206.35","16.46M","-0.07%"
"16-07-2021","207.90","207.70","209.65","207.20","29.02M","0.80%"
"15-07-2021","206.25","204.40","208.50","202.90","28.85M","1.05%"
"14-07-2021","204.10","201.85","205.15","201.70","20.48M","1.11%"
"13-07-2021","201.85","202.00","202.20","201.35","10.83M","0.37%"
"12-07-2021","201.10","202.00","202.55","200.95","13.09M","-0.12%"
"09-07-2021","201.35","202.00","202.35","200.90","11.83M","-0.32%"
"08-07-2021","202.00","203.50","204.50","201.80","20.93M","-0.86%"
"07-07-2021","203.75","202.50","205.20","202.30","17.88M","0.62%"
"06-07-2021","202.50","203.25","203.80","202.25","11.09M","-0.56%"
"05-07-2021","203.65","203.00","204.10","202.70","10.25M","0.62%"
"02-07-2021","202.40","203.30","203.70","202.25","12.70M","-0.30%"
"01-07-2021","203.00","202.90","203.80","202.15","10.19M","0.15%"
"30-06-2021","202.70","204.30","204.40","202.55","15.94M","-0.30%"
"29-06-2021","203.30","203.60","205.30","203.15","13.33M","-0.15%"
"28-06-2021","203.60","205.90","205.90","203.35","14.63M","-0.71%"
"25-06-2021","205.05","204.00","205.60","203.75","13.88M","0.89%"
"24-06-2021","203.25","204.45","204.65","202.55","22.44M","-0.34%"
"23-06-2021","203.95","205.65","205.85","203.60","12.58M","-0.56%"
"22-06-2021","205.10","206.10","206.25","204.35","18.04M","0.32%"
